Times (ms),Offset (m),Offset (m)
0,0.049,0.008
0.005,0.059,0.01
0.01,0.059,0.01
0.015,0.047,0.007
0.02,0.035,0.005
0.025,0.013,0.004
0.03,-0.005,0.004
0.035,-0.023,0.004
0.04,-0.031,0.004
0.045,-0.035,0.004
0.05,-0.031,0.004
0.055,-0.021,0.004
0.06,-0.003,0.004
0.065,0.013,0.004
0.07,0.029,0.004
0.075,0.045,0.007
0.08,0.051,0.008
0.085,0.051,0.008
0.09,0.045,0.007
0.095,0.033,0.004
0.1,0.019,0.004
0.105,0.001,0.004
0.11,-0.015,0.004
0.115,-0.025,0.004
0.12,-0.031,0.004
0.125,-0.029,0.004
0.13,-0.019,0.004
0.135,-0.007,0.004
0.14,0.009,0.004
0.145,0.025,0.004
0.15,0.039,0.006
0.155,0.045,0.007
0.16,0.049,0.008
0.165,0.043,0.006
0.17,0.033,0.004
0.175,0.019,0.004
0.18,0.005,0.004
0.185,-0.009,0.004
0.19,-0.019,0.004
0.195,-0.027,0.004
0.2,-0.025,0.004
0.205,-0.017,0.004
0.21,-0.007,0.004
0.215,0.005,0.004
0.22,0.019,0.004
0.225,0.033,0.004
0.23,0.041,0.006
0.235,0.045,0.007
0.24,0.041,0.006
0.245,0.033,0.004
0.25,0.021,0.004
0.255,0.009,0.004
0.26,-0.005,0.004
0.265,-0.013,0.004
0.27,-0.021,0.004
0.275,-0.021,0.004
0.28,-0.017,0.004
0.285,-0.005,0.004
0.29,0.005,0.004
0.295,0.015,0.004
